id,url,title,seendate,domain,language,sourcecountry,
91,https://www.washingtonpost.com/world/2024/05/15/slovakia-fico-shot-assassination-attempt/,Slovakia's prime minister Robert Fico shot in assassination attempt,20240515T155000Z,washingtonpost.com,English,United States,
92,https://www.bbc.co.uk/news/world-europe-69009900,Robert Fico: Slovakia PM shot in what officials call assassination attempt,20240515T140000Z,bbc.co.uk,English,United Kingdom,
93,https://www.dw.com/en/slovakia-pm-robert-fico-shot-in-assassination-attempt/a-69089710,Slovakia PM Robert Fico shot in assassination attempt,20240515T145000Z,dw.com,English,Germany,
94,https://www.euronews.com/2024/05/15/slovakia-pm-robert-fico-shot-what-we-know,Slovakia PM Robert Fico shot: What we know,20240515T150000Z,euronews.com,English,United Kingdom,
95,https://www.theatlantic.com/international/archive/2024/05/robert-fico-shooting-slovakia/678370/,The Attack on Slovakia's Prime Minister,20240515T200000Z,theatlantic.com,English,United States,
96,https://www.ctvnews.ca/world/slovakia-pm-fico-in-life-threatening-condition-after-being-shot-says-government-1.6885888,"Slovakia PM Fico in life-threatening condition after being shot, says government",20240515T163000Z,ctvnews.ca,English,Canada,
97,https://www.scmp.com/news/world/europe/article/3262567/slovakia-pm-robert-fico-shot-assassination-attempt-life-threatening-condition,"Slovakia PM Robert Fico shot in assassination attempt, in life-threatening condition",20240515T160000Z,scmp.com,English,Hong Kong,
98,https://www.france24.com/en/europe/20240515-slovakia-pm-robert-fico-shot-assassination-attempt,Slovakia PM Robert Fico 'fighting for life' after assassination attempt,20240515T145000Z,france24.com,English,France,
99,https://www.voanews.com/a/slovakia-pm-fico-shot/7615490.html,Slovakia PM Fico Shot in Assassination Attempt,20240515T152000Z,voanews.com,English,United States,
100,https://www.geo.tv/latest/549024-slovak-pm-no-longer-in-life-threatening-condition-minister,Slovak PM no longer in life-threatening condition: minister,20240516T060000Z,geo.tv,English,Pakistan,
